name,country,web_page,description,facultades_habilitadas
VILNIUS TECH,Lituania,https://vilniustech.lt/,Intercambio disponible en VILNIUS TECH para estudiantes de Ingeniería (FIUM).,FIUM
Vytauto Didziojo Universitetas,Lituania,http://www.vdu.lt/,Acuerdo bilateral con Vytauto Didziojo Universitetas – Lituania. Áreas UM admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Université du Luxembourg,Luxemburgo,http://www.uni.lu/,Acuerdo de intercambio entre la UM y Université du Luxembourg (Luxemburgo). Facultades admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad Autónoma de Baja California,México,http://www.uabc.mx/,Acuerdo de intercambio entre la UM y Universidad Autónoma de Baja California (México). Facultades admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad Intercontinental,México,http://www.uic.edu.mx/,Acuerdo de intercambio entre la UM y Universidad Intercontinental (México). Facultades admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad Nacional Autónoma de México,México,http://www.unam.edu.mx/,Convenio internacional con Universidad Nacional Autónoma de México. Facultades UM: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad Panamericana,México,http://www.up.edu.mx/,Intercambio disponible en Universidad Panamericana para estudiantes de no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
BI Handelshøyskolen,Noruega,http://www.bi.no/,Acuerdo de intercambio entre la UM y BI Handelshøyskolen (Noruega). Facultades admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Lincoln University,Nueva Zelanda,http://www.lincoln.ac.nz/,Intercambio con Lincoln University en Nueva Zelanda. Dirigido a: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Victoria University of Wellington,Nueva Zelanda,http://www.vuw.ac.nz/,Intercambio con Victoria University of Wellington en Nueva Zelanda. Dirigido a: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
De Haagse Hogeschool,Países Bajos,http://www.hhs.nl/,Programa de intercambio con De Haagse Hogeschool. Estudiantes de: no especificadas pueden postular.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Erasmus Universiteit Rotterdam,Países Bajos,http://www.eur.nl/,Convenio internacional con Erasmus Universiteit Rotterdam. Facultades UM: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Fontys Hogescholen,Países Bajos,http://www.fontys.nl/,Convenio académico entre la Universidad de Montevideo y Fontys Hogescholen (Países Bajos). Facultades UM habilitadas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Nyenrode Business Universiteit,Países Bajos,http://www.nyenrode.nl/,Estudiantes de la UM pueden realizar intercambio en Nyenrode Business Universiteit (Países Bajos). Facultades: FCEE (Economía/Gestión).,FCEE
Radboud Universiteit Nijmegen,Países Bajos,http://www.ru.nl/,Programa de intercambio con Radboud Universiteit Nijmegen. Estudiantes de: no especificadas pueden postular.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Rijksuniversiteit Groningen,Países Bajos,http://www.rug.nl/,Estudiantes de la UM pueden realizar intercambio en Rijksuniversiteit Groningen (Países Bajos). Facultades: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Technische Universiteit Eindhoven,Países Bajos,http://www.tue.nl/,Estudiantes de la UM pueden realizar intercambio en Technische Universiteit Eindhoven (Países Bajos). Facultades: Ingeniería (FIUM).,FIUM
